2020-01-11 22:34:17 *NORMAL*     Started on Windows 10.0.0.18362 x64. Driver status: 0xC0000225

2020-01-11 22:40:06 *NORMAL*     Started on Windows 10.0.0.18362 x64. Driver status: 0xC0000225
2020-01-11 22:40:58 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 772, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2020-01-11 22:40:58 *CRITICAL*   Injecting image 'C:\Users\Bertil Parkrud\Desktop\Isabella Menu v1.0.3\IsabellaMenu.ass'

2020-01-11 22:47:09 *NORMAL*     Started on Windows 10.0.0.18362 x64. Driver status: 0xC0000225
2020-01-11 22:47:11 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 16608, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2020-01-11 22:47:11 *CRITICAL*   Injecting image 'C:\Users\Bertil Parkrud\Desktop\Isabella Menu v1.0.3\IsabellaMenu.ass'

2020-01-11 23:01:17 *NORMAL*     Started on Windows 10.0.0.18362 x64. Driver status: 0xC0000225
2020-01-11 23:01:19 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 10304, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2020-01-11 23:01:19 *CRITICAL*   Injecting image 'C:\Users\Bertil Parkrud\Desktop\Isabella Menu v1.0.3\IsabellaMenu.ass'

2020-01-12 09:12:37 *NORMAL*     Started on Windows 10.0.0.18362 x64. Driver status: 0xC0000225
2020-01-12 09:12:38 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 7964, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2020-01-12 09:12:38 *CRITICAL*   Injecting image 'C:\Users\Bertil Parkrud\Desktop\Isabella Menu v1.0.3\IsabellaMenu.ass'

